,Player,Average Total Blocks,Average Assists,Average Total Points,Cluster
337,Steve Novak,0.0,0.3,2.2,2
338,Svi Mykhailiuk,0.09,1.32,5.81,2
339,T.J. Warren,0.37,1.08,12.48,1
340,Taurean Prince,0.43,1.87,11.1,1
341,Tayshaun Prince,0.22,1.5,6.48,2
342,Terance Mann,0.2,1.95,6.6,2
343,Terrance Ferguson,0.3,0.9,3.9,2
344,Terrence Ross,0.38,1.1,10.65,1
345,Thabo Sefolosha,0.36,1.18,6.18,2
346,Thanasis Antetokounmpo,0.15,0.52,3.08,2
347,Theo Pinson,0.1,0.9,2.5,2
348,Tim Hardaway Jr.,0.15,1.8,14.4,1
349,Timmy Allen,0.0,1.0,2.6,2
350,Timothé Luwawu-Cabarrot,0.1,0.81,5.61,2
351,Tobias Harris,0.5,2.15,15.9,1
352,Tomáš Satoranský,0.0,0.0,3.0,2
353,Tony Allen,0.1,0.4,4.7,2
354,Tony Snell,0.25,1.25,6.32,2
355,Torrey Craig,0.5,0.96,5.51,2
356,Tosan Evbuomwan,0.3,1.15,4.75,2
357,Travis Wear,0.25,0.6,4.15,2
358,Tre Scott,0.5,0.0,3.0,2
359,Trendon Watford,0.6,1.7,7.6,1
360,Treveon Graham,0.15,0.8,4.25,2
361,Trevor Ariza,0.31,2.22,10.33,1
362,Trey Murphy III,0.37,1.4,11.57,1
363,Troy Brown Jr.,0.12,1.26,5.6,2
364,Troy Williams,0.24,0.7,5.82,2
365,Tyler Bey,0.1,0.2,1.0,2
366,Tyler Cook,0.05,0.25,3.75,2
367,Tyler Dorsey,0.0,0.0,3.0,2
368,Tyreke Evans,0.3,2.95,10.55,1
369,Victor Claver,0.1,0.1,2.4,2
370,Vince Carter,0.45,1.5,6.7,2
371,Vince Edwards,0.0,0.0,1.5,2
372,Wes Iwundu,0.17,0.67,4.45,2
373,Wesley Johnson,0.53,0.75,5.23,2
374,Wesley Matthews,0.28,1.9,10.42,1
375,Will Barton,0.47,3.27,13.1,1
376,Wilson Chandler,0.38,1.62,10.98,1
377,Xavier Henry,0.0,0.3,2.2,2
378,Xavier Sneed,0.1,0.47,1.67,2
379,Yuta Watanabe,0.21,0.61,3.59,2
380,Yves Pons,0.3,0.1,1.1,2
381,Zach LaVine,0.5,4.2,25.5,1
382,Zhaire Smith,0.0,0.3,1.1,2
383,Ziaire Williams,0.2,1.13,7.33,2
384,Zylan Cheatham,0.0,0.0,0.0,2
