,Player,Average Assists,Two-Point Percentage Average,Average Steals,Average Turnovers,Three-Point Percentage Average,Cluster
90,Fred VanVleet,5.15,42.8,1.18,1.5,37.95,1
91,Gabe Vincent,1.9,45.66,0.72,0.82,26.8,2
92,Gal Mekel,3.3,17.6,0.5,0.5,0.0,2
93,Gary Payton II,1.1,61.64,0.56,0.56,31.72,2
94,George Hill,3.01,53.53,0.87,1.18,38.09,1
95,Giannis Antetokounmpo,4.3,53.7,1.2,2.6,25.7,1
96,Goran Dragić,4.27,47.87,0.79,1.93,34.54,1
97,Grant Riller,0.4,75.0,0.1,0.1,50.0,2
98,Greivis Vásquez,3.13,35.03,0.43,1.17,31.97,2
99,Hassani Gravett,2.5,58.3,0.6,1.1,42.3,2
100,Immanuel Quickley,4.1,43.23,0.7,1.33,37.67,1
101,Isaac Bonga,0.7,20.0,0.4,0.3,0.0,2
102,Isaiah Briscoe,2.2,42.3,0.3,0.8,32.4,2
103,Isaiah Canaan,2.52,35.53,0.5,1.13,36.55,2
104,Isaiah Taylor,1.95,33.05,0.4,0.65,12.5,2
105,Isaiah Thomas,3.62,43.68,0.47,1.81,32.01,2
106,Isaiah Whitehead,1.95,46.55,0.55,1.7,34.2,2
107,Ish Smith,4.25,43.78,0.72,1.39,32.66,1
108,Izaiah Brockington,0.0,50.0,0.0,0.0,0.0,2
109,J.J. Barea,4.8,46.87,0.42,1.58,35.1,1
110,Ja Morant,7.52,52.36,0.98,3.26,31.28,1
111,JaQuori McLaughlin,0.5,0.0,0.0,0.0,0.0,2
112,Jacob Gilyard,4.0,37.5,1.73,1.03,25.27,1
113,Jacob Pullen,0.0,100.0,0.0,0.3,0.0,2
114,Jalen Brunson,4.58,53.02,0.64,1.62,38.56,1
115,Jalen Crutcher,0.0,0.0,0.0,0.0,0.0,2
116,Jalen Lecque,0.5,12.5,0.0,0.0,0.0,2
117,Jalen Suggs,4.4,44.3,1.2,3.0,21.4,1
118,Jamal Murray,5.08,50.4,1.05,2.17,38.7,1
119,Jamaree Bouyea,0.82,51.73,0.32,0.65,35.0,2
120,Jameer Nelson,4.31,41.97,0.71,1.61,29.21,1
121,James Harden,9.99,51.38,1.31,4.15,35.65,1
122,Jannero Pargo,0.9,46.2,0.0,0.3,40.9,2
123,Jared Butler,1.3,44.4,0.8,0.8,50.0,2
124,Jared Harper,0.97,38.1,0.27,0.27,13.9,2
125,Jarrett Jack,5.05,59.05,0.9,2.17,21.55,1
126,Jason Preston,2.1,47.0,0.2,0.5,13.9,2
127,Javon Freeman-Liberty,1.8,54.9,0.5,1.1,23.8,2
128,Javonte Smart,0.53,39.0,0.27,0.4,33.3,2
129,Jawun Evans,1.17,32.25,0.4,0.6,9.27,2
130,Jaylen Adams,1.1,26.4,0.2,0.4,16.9,2
131,Jaysean Paige,1.0,0.0,0.0,1.0,0.0,2
132,Jeff Dowtin,1.22,51.7,0.46,0.38,18.6,2
133,Jeff Teague,5.66,46.13,1.03,2.12,37.36,1
134,Jerel McNeal,0.3,22.2,0.5,0.8,50.0,2
135,Jeremiah Martin,1.2,41.45,0.7,0.55,26.4,2
136,Jeremy Lin,3.88,46.58,0.68,2.12,35.48,1
137,Jeremy Pargo,2.7,53.3,0.3,1.3,42.9,2
138,Jerian Grant,2.85,46.7,0.75,0.98,31.9,2
139,Jerryd Bayless,3.6,39.9,0.43,1.87,33.47,2
140,Jevon Carter,1.66,41.0,0.59,0.6,39.54,2
141,Jimmer Fredette,1.2,45.8,0.3,0.7,18.8,2
142,Joe Chealey,0.65,16.65,0.5,0.25,0.0,2
143,Joe Young,0.93,43.67,0.27,0.5,27.1,2
144,John Lucas III,1.55,38.65,0.4,0.4,15.5,2
145,John Wall,8.76,46.53,1.49,3.66,32.44,1
146,Jonathan Gibson,1.25,56.35,0.25,1.0,41.65,2
147,Jordan Bone,1.05,44.55,0.1,0.2,25.65,2
148,Jordan Clarkson,3.5,48.2,0.9,1.6,31.4,1
149,Jordan Farmar,3.17,29.97,0.97,1.3,38.7,1
150,Jordan Ford,0.3,50.0,0.0,0.2,66.7,2
151,Jordan Goodwin,3.07,44.6,1.0,1.07,30.7,1
152,Jordan Loyd,0.5,40.0,0.0,0.2,50.0,2
153,Jordan McLaughlin,3.26,51.96,0.86,0.74,36.78,2
154,Jordan McRae,1.2,46.15,0.2,0.75,45.45,2
155,Jordan Poole,4.5,52.4,0.8,3.1,33.6,1
156,Jorge Gutiérrez,1.2,60.17,0.3,0.57,0.0,2
157,Jose Alvarado,2.63,49.67,1.17,0.9,33.47,1
158,Josh Gray,1.7,39.3,0.8,1.95,23.1,1
159,Josh Magette,1.9,32.8,0.4,0.55,30.7,2
160,José Calderón,2.92,49.48,0.48,1.07,35.98,2
161,Jrue Holiday,6.47,51.73,1.4,2.49,38.37,1
162,Justin Robinson,1.1,29.16,0.2,0.48,30.74,2
163,Justin Wright-Foreman,1.8,50.0,0.5,0.8,20.0,2
164,Kadeem Allen,2.27,50.07,0.5,0.9,26.17,2
165,Kalin Lucas,0.5,0.0,0.5,0.0,0.0,2
166,Karim Mané,0.4,18.2,0.0,0.3,50.0,2
167,Kay Felder,0.93,35.67,0.2,0.77,18.0,2
