,Player,Average Total Points,Average Steals,Average Turnovers,Average Assists,Cluster
368,Randy Foye,6.38,0.55,1.12,2.08,1
369,Rashad Vaughn,2.06,0.26,0.26,0.54,1
370,Rawle Alkins,3.7,0.1,0.8,1.3,1
371,Rayan Rupert,4.0,0.3,0.8,1.6,1
372,Rayjon Tucker,4.2,0.63,0.3,1.53,1
373,Reggie Bullock,9.83,0.73,0.83,1.67,1
374,Reggie Hearn,1.0,0.0,0.0,0.0,1
375,Reggie Jackson,13.75,0.65,1.7,3.95,2
376,Ricky Council IV,5.4,0.3,0.2,0.5,1
377,Ricky Ledo,3.8,0.25,1.2,0.85,1
378,Rob Edwards,1.5,0.0,0.5,0.0,1
379,Rodney Hood,12.19,0.74,1.0,1.77,2
380,Rodney McGruder,5.6,0.49,0.5,1.09,1
381,Rodney Purvis,6.0,0.2,0.6,1.1,1
382,Romeo Langford,4.0,0.4,0.4,0.64,1
383,Ron Baker,1.95,0.6,0.62,1.35,1
384,Ryan Broekhoff,4.0,0.1,0.4,0.5,1
385,Sam Merrill,5.05,0.35,0.22,1.05,1
386,Sasha Vujačić,3.95,0.45,0.55,1.3,1
387,Scottie Barnes,19.9,1.3,2.8,6.1,2
388,Scottie Lewis,0.5,0.5,0.0,0.5,1
389,Scotty Hopson,2.5,0.0,1.5,1.0,1
390,Sean Kilpatrick,8.11,0.39,0.89,1.06,1
391,Sergey Karasev,4.6,0.7,0.7,1.4,1
392,Seth Curry,10.65,0.66,0.99,2.04,1
393,Shabazz Muhammad,11.0,0.45,0.5,0.9,1
394,Shaedon Sharpe,12.9,0.7,1.65,2.05,2
395,Shai Gilgeous-Alexander,21.35,0.95,2.45,4.6,2
396,Shake Milton,7.09,0.42,0.82,1.98,1
397,Shannon Brown,4.0,0.8,0.8,0.6,1
398,Shaq Buchanan,1.0,0.5,1.0,1.0,1
399,Shaquille Harrison,3.89,0.81,0.59,1.7,1
400,Sheldon Mac,3.0,0.3,0.2,0.5,1
401,Sindarius Thornwell,2.38,0.6,0.42,0.98,1
402,Skylar Mays,2.67,0.37,0.27,0.7,1
403,Sonny Weems,2.5,0.3,1.0,1.3,1
404,Spencer Dinwiddie,12.2,0.7,1.7,4.15,2
405,Stanley Umude,3.65,0.65,0.3,0.25,1
406,Stanton Kidd,0.0,0.0,0.5,0.3,1
407,Sterling Brown,5.48,0.5,0.65,1.0,1
408,Tahjere McCall,4.0,0.0,0.0,0.0,1
409,Talen Horton-Tucker,8.85,0.98,1.48,2.58,2
410,Taze Moore,4.5,0.5,0.8,1.3,1
411,Terance Mann,8.2,0.5,0.73,1.83,1
412,Terence Davis,8.52,0.7,1.04,1.34,1
413,Terrance Ferguson,3.4,0.33,0.37,0.5,1
414,Terrence Ross,11.59,0.8,1.04,1.7,2
415,Terry Rozier,21.0,1.23,1.88,5.1,2
416,Theo Pinson,2.65,0.25,0.6,1.05,1
417,Tim Hardaway Jr.,14.57,0.66,1.16,2.03,2
418,Tim Quarterman,1.6,0.05,0.7,0.5,1
419,Tomáš Satoranský,6.06,0.7,1.24,3.6,2
420,Toney Douglas,4.3,0.9,0.8,2.0,1
421,Tony Allen,8.7,1.77,1.33,1.3,2
422,Tony Snell,5.84,0.46,0.48,0.96,1
423,Toure' Murry,1.5,0.3,1.0,0.3,1
424,Trayvon Palmer,0.0,0.0,1.0,0.0,1
425,Trent Forrest,2.25,0.3,0.6,2.05,1
426,Trevelin Queen,3.4,0.43,0.73,0.87,1
427,Treveon Graham,3.9,0.37,0.33,0.7,1
428,Trevor Keels,1.0,0.0,0.0,0.0,1
429,Trey McKinney-Jones,0.0,0.0,0.0,0.0,1
430,Troy Daniels,5.54,0.29,0.5,0.5,1
431,Ty Jerome,6.0,0.44,0.8,2.36,1
432,Ty-Shon Alexander,0.6,0.0,0.2,0.4,1
433,Tyler Dorsey,6.77,0.3,0.63,1.3,1
434,Tyler Hall,0.0,0.0,0.0,0.0,1
435,Tyler Herro,18.04,0.68,2.14,3.66,2
436,Tyler Johnson,8.0,0.65,0.8,1.92,1
437,Tyreke Evans,14.0,1.13,2.57,5.2,2
438,Tyrese Haliburton,14.3,1.7,2.3,7.4,2
439,Tyrese Martin,1.3,0.1,0.1,0.1,1
440,Tyrese Maxey,14.15,0.6,1.0,2.75,2
441,Tyrone Wallace,2.85,0.5,0.5,0.55,1
442,Vander Blue,5.8,0.85,1.8,2.3,2
443,Victor Oladipo,16.59,1.47,2.42,3.88,2
444,Vince Carter,6.2,0.65,0.65,1.05,1
445,Vince Williams Jr.,6.0,0.65,1.05,1.85,1
446,Vit Krejci,6.2,0.6,1.0,1.9,1
447,Wayne Ellington,9.02,0.64,0.63,1.21,1
448,Wayne Selden,5.78,0.4,0.88,1.07,1
449,Wendell Moore Jr.,1.05,0.25,0.25,0.4,1
450,Wesley Matthews,8.46,0.75,0.84,1.71,1
451,Will Barton,10.59,0.79,1.3,2.52,2
452,Will Bynum,3.1,0.1,1.1,2.6,1
453,Willie Green,5.9,0.5,0.9,1.3,1
454,Xavier Moon,3.33,0.3,0.43,1.73,1
455,Xavier Munford,3.1,0.55,0.7,1.15,1
456,Xavier Rathan-Mayes,5.8,1.2,2.2,3.6,2
457,Xavier Silas,0.0,0.5,0.0,0.0,1
458,Yogi Ferrell,10.2,0.8,1.0,2.5,2
459,Zach LaVine,21.18,0.85,2.45,3.89,2
460,Zach Lofton,0.0,1.0,1.0,0.0,1
461,Zach Norvell,1.65,0.35,0.5,0.5,1
462,Zhaire Smith,6.7,0.3,1.0,1.7,1
463,Zoran Dragić,1.6,0.1,0.25,0.3,1
464,Álex Abrines,5.33,0.5,0.43,0.53,1
